,Home,winningTeam,winningScore,losingTeam,losingScore,Pace_Home,Pace_AWAY,FG_PpercentHome,FG_PpercentAWAY,TOV_Home,TOV_AWAY,ORB_Home,ORB_AWAY,FT_Rate_Home,FT_Rate_AWAY,Off_Rat_Home,Off_Rat_AWAY,date
0,Houston,Denver,124,Houston,111,103.8,103.8,.547,.609,13.5,12.2,10.9,25.0,.198,.207,107.0,119.5,2020-12-28
0,Portland,Portland,115,LA Lakers,107,99.9,99.9,.554,.529,8.4,12.9,16.7,13.6,.141,.172,115.1,107.1,2020-12-28
0,Utah,Utah,110,Oklahoma City,109,99.2,99.2,.576,.552,14.8,13.7,21.1,16.7,.128,.163,110.9,109.9,2020-12-28
0,New York,New York,95,Cleveland,86,95.6,95.6,.519,.403,22.1,11.7,32.6,25.5,.165,.170,99.3,89.9,2020-12-29
0,Golden State,Golden State,116,Detroit,106,102.2,102.2,.592,.451,17.1,12.5,12.1,30.8,.342,.250,113.6,103.8,2020-12-29
0,Boston,Boston,116,Indiana,111,98.3,98.3,.556,.583,12.7,13.3,27.3,11.4,.338,.155,118.1,113.0,2020-12-29
0,Minnesota,LA Clippers,124,Minnesota,101,98.1,98.1,.489,.625,12.7,12.0,22.0,20.0,.157,.159,103.0,126.4,2020-12-29
0,Milwaukee,Milwaukee,144,Miami,97,103.4,103.4,.712,.538,14.7,19.5,27.0,7.9,.141,.152,139.3,93.8,2020-12-29
0,Orlando,Orlando,118,Oklahoma City,107,102.5,102.5,.547,.557,9.6,17.3,24.5,22.7,.135,.115,115.1,104.4,2020-12-29
0,Toronto,Philadelphia,100,Toronto,93,103.8,103.8,.450,.429,16.5,15.4,18.2,19.6,.133,.333,89.6,96.3,2020-12-29
0,New Orleans,Phoenix,111,New Orleans,86,90.4,90.4,.500,.554,15.9,9.8,18.4,26.1,.117,.214,95.1,122.8,2020-12-29
0,Denver,Sacramento,125,Denver,115,99.1,99.1,.611,.574,17.5,8.8,21.9,27.3,.198,.181,116.1,126.2,2020-12-29
0,Chicago,Chicago,115,Washington,107,105.6,105.6,.523,.500,12.2,16.6,11.4,20.0,.276,.274,108.9,101.3,2020-12-29
0,Memphis,Boston,126,Memphis,107,104.8,104.8,.478,.626,17.5,14.1,30.4,23.8,.194,.132,102.1,120.2,2020-12-30
